VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
ALL_NONRES_EDUCATIONAL_STD_ERR_MM_PY,"Nonresidential Construction: Educational: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Educational,
ALL_NONRES_EDUCATIONAL_STD_ERR_YTD,"Nonresidential Construction: Educational: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Educational,
ALL_NONRES_HEALTH_A,Nonresidential Construction: Health Care (Annual),Nonresidential Construction,USD,Annual,,,Health care,
ALL_NONRES_HEALTH_COEFF_M,"Nonresidential Construction: Health Care: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Health care,
ALL_NONRES_HEALTH_COEFF_YTD,"Nonresidential Construction: Health Care: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Health care,
ALL_NONRES_HEALTH_NSA,Nonresidential Construction: Health Care (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Health care,false
ALL_NONRES_HEALTH_SA,Nonresidential Construction: Health Care (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Health care,true
ALL_NONRES_HEALTH_STD_ERR_MM,"Nonresidential Construction: Health Care: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Health care,
ALL_NONRES_HEALTH_STD_ERR_MM_PY,"Nonresidential Construction: Health Care: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Health care,
ALL_NONRES_HEALTH_STD_ERR_YTD,"Nonresidential Construction: Health Care: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Health care,
ALL_NONRES_HIGHWAY_A,Nonresidential Construction: Highway And Street (Annual),Nonresidential Construction,USD,Annual,,,Highway and street,
ALL_NONRES_HIGHWAY_COEFF_M,"Nonresidential Construction: Highway And Street: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Highway and street,
ALL_NONRES_HIGHWAY_COEFF_YTD,"Nonresidential Construction: Highway And Street: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Highway and street,
ALL_NONRES_HIGHWAY_NSA,Nonresidential Construction: Highway And Street (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Highway and street,false
ALL_NONRES_HIGHWAY_SA,Nonresidential Construction: Highway And Street (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Highway and street,true
ALL_NONRES_HIGHWAY_STD_ERR_MM,"Nonresidential Construction: Highway And Street: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Highway and street,
ALL_NONRES_HIGHWAY_STD_ERR_MM_PY,"Nonresidential Construction: Highway And Street: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Highway and street,
ALL_NONRES_HIGHWAY_STD_ERR_YTD,"Nonresidential Construction: Highway And Street: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Highway and street,
ALL_NONRES_LODGING_A,Nonresidential Construction: Lodging (Annual),Nonresidential Construction,USD,Annual,,,Lodging,
ALL_NONRES_LODGING_COEFF_M,"Nonresidential Construction: Lodging: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Lodging,
ALL_NONRES_LODGING_COEFF_YTD,"Nonresidential Construction: Lodging: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Lodging,
ALL_NONRES_LODGING_NSA,Nonresidential Construction: Lodging (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Lodging,false
